score_full	country	S2	S5	S26	S27	education	age
45	US	4	2	2	4	4	27
17.75	PH	3	3	3	4	2	16
38.3	US	3	1	2	4	4	65
26.55	US	3	3	3	3	2	18
27.3	US	3	4	1	3	3	30
18.6	PH	3	3	3	2	4	31
32.25	GB	5	5	1	5	2	45
17.15	US	2	3	2	2	3	25
23.95	CZ	3	4	1	3	3	24
34.55	GB	5	1	4	5	3	23
34.65	US	4	3	1	1	4	37
9.9	US	1	4	2	3	1	16
40.3	US	1	1	4	5	4	23
37.6	CA	3	1	4	4	3	45
17.15	US	5	3	1	5	3	21
17.95	US	4	5	2	1	1	16
38.6	US	2	4	2	2	3	40
28.8	AU	3	5	3	3	2	30
31.9	US	3	1	3	3	1	15
33.2	US	4	2	4	3	4	42
25.3	IN	1	3	4	4	4	20
13.2	MY	2	4	3	2	2	34
15.05	TR	1	1	2	1	4	48
33.3	US	4	5	3	5	2	25
29.6	US	3	3	2	3	4	30
23.45	US	1	1	1	1	2	22
36.95	US	1	1	1	3	4	78
20.9	US	2	5	1	3	1	17
21.6	US	4	4	3	2	2	16
33.6	GB	2	1	2	4	3	52
18.3	FI	5	1	1	3	1	20
12.1	AU	3	5	5	3	1	15
22.15	US	4	2	2	2	1	16
33.9	FR	1	5	1	3	3	40
28.5	US	4	3	1	3	2	26
16.1	PK	3	5	3	2	4	23
39.95	US	3	1	1	1	2	52
39.3	US	4	1	3	2	3	58
35.6	AU	3	2	4	2	2	24
29.95	US	4	5	4	1	2	16
29.6	US	3	4	2	3	3	26
35.55	US	4	1	1	3	4	57
30.55	HR	4	4	3	5	3	34
25.2	HU	5	1	1	3	2	19
42.3	US	1	2	1	4	4	39
22.05	US	3	4	2	5	2	21
15.2	US	1	5	1	1	2	32
18	US	2	1	5	5	1	20
45	US	2	1	2	4	3	23
35.25	US	5	2	4	4	2	22
37.65	US	4	4	2	3	3	22
11.2	ZA	3	5	1	5	2	19
32.3	US	1	4	2	2	2	42
23.25	US	3	4	2	5	3	29
37.25	US	3	3	2	3	4	38
30.15	US	2	2	2	4	3	27
37.3	GB	2	4	2	2	3	28
28.95	GB	2	4	1	2	3	27
